[null,null,"17:46:49","127.0.0.1","\/admin\/",[]]
[1,"admin","17:47:03","127.0.0.1","\/admin\/index\/index.html",[]]
[1,"admin","17:47:03","127.0.0.1","\/admin\/main\/index.html",[]]
[1,"admin","17:47:05","127.0.0.1","\/portal\/admin_pac\/index.html",[]]
[1,"admin","17:47:06","127.0.0.1","\/portal\/admin_pac\/__PUBLIC__\/magnifyr\/dist\/jquery.magnify.css",{"magnifyr":"dist"}]
[1,"admin","17:47:10","127.0.0.1","\/portal\/admin_pac\/index.html",[]]
[1,"admin","17:47:10","127.0.0.1","\/portal\/admin_pac\/__PUBLIC__\/magnifyr\/dist\/jquery.magnify.css",{"magnifyr":"dist"}]
[1,"admin","17:47:18","127.0.0.1","\/portal\/admin_pac\/index.html",[]]
[1,"admin","17:50:20","127.0.0.1","\/portal\/admin_pac\/index.html",[]]
